structure abbreviation,ARA ontology order,structure ID,full structure name,Major Brain Division,Mouse line,Image id,Dataset type,Transgenic Signal in CCF structure,Connectivity Source Injection Site,ABA gene name,Link to image viewer or download location for individual high resolution images (n.b. only jp2 files are at BIL),Link to 25 um Tg line grid data (.nrrd files),Link to cortical surface views (.nrrd files)
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,Dlg3-Cre_KG118;Ai14,492048325,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/492048325?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,Slc17a7-IRES2-Cre;Ai14,541490256,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541490256?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,C57Bl/6J,113368085,Connectivity (Source -> Target),n/a,IC,n/a,http://connectivity.brain-map.org/projection/experiment/113368085,,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,C57Bl/6J,120491896,Connectivity (Source -> Target),n/a,AUDp,n/a,http://connectivity.brain-map.org/projection/experiment/120491896,,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,C57BL/6J,71670687,ISH (ABA),n/a,n/a,Plekhg1,http://mouse.brain-map.org/experiment/show/71670687,,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,C57BL/6J,73512364,ISH (ABA),n/a,n/a,Kcnc2,http://mouse.brain-map.org/experiment/show/73512364,,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,C57BL/6J,77280576,ISH (ABA),n/a,n/a,Tnnt1,http://mouse.brain-map.org/experiment/show/77280576,,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,Pvalb-IRES-Cre,277959325,Connectivity (Source -> Target),n/a,IC,n/a,http://connectivity.brain-map.org/projection/experiment/277959325,,
MGv,755,1079,"Medial geniculate complex, ventral part",Thalamus,Syt6-Cre_KI148,124060405,Connectivity (Source -> Target),n/a,AUDp,n/a,http://connectivity.brain-map.org/projection/experiment/124060405,,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Ntsr1-Cre_GN220;Ai14,472986374,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/472986374?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Pvalb-IRES-Cre;Ai14,476447880,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476447880?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Dlg3-Cre_KG118;Ai14,492048325,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/492048325?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Slc17a7-IRES2-Cre;Ai14,541490256,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541490256?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,C57Bl/6J,100141596,Connectivity (Source -> Target),n/a,IC,n/a,http://connectivity.brain-map.org/projection/experiment/100141596,,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,C57Bl/6J,113368085,Connectivity (Source -> Target),n/a,IC,n/a,http://connectivity.brain-map.org/projection/experiment/113368085,,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,C57BL/6J,73512364,ISH (ABA),n/a,n/a,Kcnc2,http://mouse.brain-map.org/experiment/show/73512364,,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,C57BL/6J,73931643,ISH (ABA),n/a,n/a,Rab37,http://mouse.brain-map.org/experiment/show/73931643,,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,C57BL/6J,74512048,ISH (ABA),n/a,n/a,Nefh,http://mouse.brain-map.org/experiment/show/74512048,,
MGm,756,1088,"Medial geniculate complex, medial part",Thalamus,Pvalb-IRES-Cre,277959325,Connectivity (Source -> Target),n/a,IC,n/a,http://connectivity.brain-map.org/projection/experiment/277959325,,
LGd,759,170,Dorsal part of the lateral geniculate complex,Thalamus,C57Bl/6J,n/a,average template,n/a,n/a,n/a,http://atlas.brain-map.org/atlas?atlas=602630314#atlas=602630314&structure=170,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Ntsr1-Cre_GN220;Ai14,472986374,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/472986374?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Scnn1a-Tg3-Cre;Ai14,475384080,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475384080?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Pvalb-IRES-Cre;Ai14,476447880,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476447880?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Gal-Cre_KI87;Ai14,484773406,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/484773406?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Fezf2-CreER;Ai14,539655376,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539655376?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Kcng4-Cre;Ai14,539737059,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539737059?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Gad2-IRES-Cre;Ai14,541728841,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541728841?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Vipr2-IRES2-Cre;Ai14,545797988,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/545797988?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,71670687,ISH (ABA),n/a,n/a,Plekhg1,http://mouse.brain-map.org/experiment/show/71670687,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,73818754,ISH (ABA),n/a,n/a,Slc17a6,http://mouse.brain-map.org/experiment/show/73818754,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,74511860,ISH (ABA),n/a,n/a,Ptpn3,http://mouse.brain-map.org/experiment/show/74511860,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,74511884,ISH (ABA),n/a,n/a,Rgs4,http://mouse.brain-map.org/experiment/show/74511884,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,74512048,ISH (ABA),n/a,n/a,Nefh,http://mouse.brain-map.org/experiment/show/74512048,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,77280576,ISH (ABA),n/a,n/a,Tnnt1,http://mouse.brain-map.org/experiment/show/77280576,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,77866900,ISH (ABA),n/a,n/a,Lef1,http://mouse.brain-map.org/experiment/show/77866900,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,C57BL/6J,79556597,ISH (ABA),n/a,n/a,Rorb,http://mouse.brain-map.org/experiment/show/79556597,,
LGd-sh,760,496345664,"Dorsal part of the lateral geniculate complex, shell",Thalamus,Cart-Tg1-Cre,307137245,Connectivity (Source -> Target),n/a,retina,n/a,http://connectivity.brain-map.org/projection/experiment/307137245,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Ntsr1-Cre_GN220;Ai14,472986374,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/472986374?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Scnn1a-Tg3-Cre;Ai14,475384080,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475384080?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Pvalb-IRES-Cre;Ai14,476447880,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476447880?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Gal-Cre_KI87;Ai14,484773406,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/484773406?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Fezf2-CreER;Ai14,539655376,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539655376?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Kcng4-Cre;Ai14,539737059,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539737059?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Gad2-IRES-Cre;Ai14,541728841,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541728841?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Vipr2-IRES2-Cre;Ai14,545797988,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/545797988?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,70562125,ISH (ABA),n/a,n/a,Scnn1a,http://mouse.brain-map.org/experiment/show/70562125,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,71670687,ISH (ABA),n/a,n/a,Plekhg1,http://mouse.brain-map.org/experiment/show/71670687,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,73818754,ISH (ABA),n/a,n/a,Slc17a6,http://mouse.brain-map.org/experiment/show/73818754,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,74511860,ISH (ABA),n/a,n/a,Ptpn3,http://mouse.brain-map.org/experiment/show/74511860,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,74511884,ISH (ABA),n/a,n/a,Rgs4,http://mouse.brain-map.org/experiment/show/74511884,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,74512048,ISH (ABA),n/a,n/a,Nefh,http://mouse.brain-map.org/experiment/show/74512048,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,77280576,ISH (ABA),n/a,n/a,Tnnt1,http://mouse.brain-map.org/experiment/show/77280576,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,77866900,ISH (ABA),n/a,n/a,Lef1,http://mouse.brain-map.org/experiment/show/77866900,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,C57BL/6J,79556597,ISH (ABA),n/a,n/a,Rorb,http://mouse.brain-map.org/experiment/show/79556597,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Kcng4-Cre,307026704,Connectivity (Source -> Target),n/a,retina,n/a,http://connectivity.brain-map.org/projection/experiment/307026704,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Kcng4-Cre,307135833,Connectivity (Source -> Target),n/a,retina,n/a,http://connectivity.brain-map.org/projection/experiment/307135833,,
LGd-co,761,496345668,"Dorsal part of the lateral geniculate complex, core",Thalamus,Slc32a1-IRES-Cre,267538006,Connectivity (Source -> Target),n/a,LGv,n/a,http://connectivity.brain-map.org/projection/experiment/267538006,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Ntsr1-Cre_GN220;Ai14,472986374,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/472986374?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Scnn1a-Tg3-Cre;Ai14,475384080,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475384080?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Pvalb-IRES-Cre;Ai14,476447880,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476447880?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Gal-Cre_KI87;Ai14,484773406,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/484773406?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Fezf2-CreER;Ai14,539655376,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539655376?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Kcng4-Cre;Ai14,539737059,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539737059?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Gad2-IRES-Cre;Ai14,541728841,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541728841?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Vipr2-IRES2-Cre;Ai14,545797988,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/545797988?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,71670687,ISH (ABA),n/a,n/a,Plekhg1,http://mouse.brain-map.org/experiment/show/71670687,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,73818754,ISH (ABA),n/a,n/a,Slc17a6,http://mouse.brain-map.org/experiment/show/73818754,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,74511860,ISH (ABA),n/a,n/a,Ptpn3,http://mouse.brain-map.org/experiment/show/74511860,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,74511884,ISH (ABA),n/a,n/a,Rgs4,http://mouse.brain-map.org/experiment/show/74511884,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,74512048,ISH (ABA),n/a,n/a,Nefh,http://mouse.brain-map.org/experiment/show/74512048,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,77280576,ISH (ABA),n/a,n/a,Tnnt1,http://mouse.brain-map.org/experiment/show/77280576,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,77866900,ISH (ABA),n/a,n/a,Lef1,http://mouse.brain-map.org/experiment/show/77866900,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,C57BL/6J,79556597,ISH (ABA),n/a,n/a,Rorb,http://mouse.brain-map.org/experiment/show/79556597,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Cux2-IRES-Cre,306879536,Connectivity (Source -> Target),n/a,retina,n/a,http://connectivity.brain-map.org/projection/experiment/306879536,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Cux2-IRES-Cre,307535211,Connectivity (Source -> Target),n/a,retina,n/a,http://connectivity.brain-map.org/projection/experiment/307535211,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Jam2-Cre,312658094,Connectivity (Source -> Target),n/a,retina,n/a,http://connectivity.brain-map.org/projection/experiment/312658094,,
LGd-ip,762,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Thalamus,Slc32a1-IRES-Cre,267538006,Connectivity (Source -> Target),n/a,LGv,n/a,http://connectivity.brain-map.org/projection/experiment/267538006,,
